user_id,preferred_genres
user_0,"mpb,r-n-b"
user_1,"british,country,new-age"
user_2,"dub,romance"
user_3,"metalcore,punk-rock,rock-n-roll"
user_4,"german,reggae"
user_5,"indie-pop,progressive-house"
user_6,"deep-house,heavy-metal,pagode,trip-hop"
user_7,"drum-and-bass,soul,trance"
user_8,"club,honky-tonk,sad"
user_9,"acoustic,minimal-techno,reggae,world-music"
user_10,"brazil,k-pop,swedish"
user_11,"hip-hop,show-tunes,turkish"
user_12,"country,disney,psych-rock,sleep"
user_13,"j-dance,punk-rock"
user_14,"bluegrass,honky-tonk"
user_15,"blues,grindcore,hip-hop,rock-n-roll"
user_16,"anime,j-idol"
user_17,"country,house,sleep"
user_18,"death-metal,electro"
user_19,"party,punk"
user_20,"dubstep,world-music"
user_21,"alternative,chill,rockabilly"
user_22,"children,disco,power-pop"
user_23,"cantopop,dubstep"
user_24,"grunge,mandopop"
user_25,"bluegrass,detroit-techno,disney"
user_26,"electronic,hardcore,indian,latino"
user_27,"heavy-metal,reggae,rockabilly,tango"
user_28,"classical,drum-and-bass,dub"
user_29,"classical,hardcore,power-pop"
user_30,"chicago-house,k-pop,minimal-techno,turkish"
user_31,"blues,detroit-techno,hardstyle"
user_32,"edm,show-tunes"
user_33,"honky-tonk,rock,show-tunes"
user_34,"alt-rock,techno"
user_35,"j-pop,opera,trip-hop"
user_36,"death-metal,hip-hop,j-pop,salsa"
user_37,"dance,disney,world-music"
user_38,"garage,samba"
user_39,"ambient,gospel"
user_40,"black-metal,children,show-tunes"
user_41,"dubstep,electronic,progressive-house"
user_42,"comedy,rock,romance"
user_43,"dubstep,study,world-music"
user_44,"minimal-techno,party,sad"
user_45,"bluegrass,goth,punk,rockabilly"
user_46,"metal,party"
user_47,"bluegrass,pagode"
user_48,"classical,honky-tonk,trance"
user_49,"comedy,industrial,latino,romance"
user_50,"deep-house,hardcore"
user_51,"children,country,honky-tonk,indie"
user_52,"dancehall,sleep"
user_53,"ambient,breakbeat,german"
user_54,"gospel,j-dance,reggae"
user_55,"blues,forro,grindcore,sertanejo"
user_56,"folk,reggaeton,tango"
user_57,"ambient,grunge,idm,pop"
user_58,"edm,garage,latin,punk-rock"
user_59,"detroit-techno,malay,synth-pop"
user_60,"edm,punk-rock"
user_61,"afrobeat,j-rock"
user_62,"british,dub,hard-rock"
user_63,"ambient,heavy-metal,psych-rock"
user_64,"blues,club,reggaeton"
user_65,"guitar,progressive-house,singer-songwriter"
user_66,"alt-rock,grunge,indie"
user_67,"club,dub"
user_68,"death-metal,disney,edm,indie"
user_69,"afrobeat,comedy,electronic,sertanejo"
user_70,"emo,punk-rock"
user_71,"goth,honky-tonk,k-pop,reggae"
user_72,"classical,guitar"
user_73,"country,j-rock,r-n-b,sleep"
user_74,"british,new-age,trip-hop"
